YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf [Hz],SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR_plot [dB],P [W],fs [Hz],OSR,fsnyq [Hz],P/fsnyq [pJ],FOMW_lf [fJ/conv-step],FOMW_hf [fJ/conv-step],FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
2002,13.3,OS,SDSC,0.35,A dual-mode 80 MHz bandpass __ modulator for a GSM/WCDMA IF-receiver,"Summary form only given. The authors present a band-pass modulator operating at 80 MHz which combines frequency down-conversion with A/D conversion. The two SC resonators are implemented using a single opamp. A single-bit quantizer and feedback is used for GSM, but 4 b quantizer is used for WCDMA. Measured peak SNRs are 80 dB for 270 kHz B/W (GSM), and 48 dB for 3.84 MHz B/W (WCDMA) ","Salo, T.; Hollman, T.; Lindfors, S.; Halonen, K.", , ,0.79,,3.84E+06,48.0,48.0,50.0,,,48.0,3.80E-02,8.00E+07,10,7.68E+06,4.95E+03,,24109.7,,128.0,3.14E-03,196.90
2002,13.4,OS,SDSC,0.18,A 1.8 V 14 b __ A/D converter with 4MSamples/s conversion,Summary form only given. A fifth-order single-stage __ modulator achieves 14 b resolution with 8_ OSR and 4 MHz conversion bandwidth in a 1.8 V 0.18 _m CMOS process. The DC gain of the internal op amps is 43 dB. It occupies 1.3_2.2 mm2 and consumes 102 mW analog power and 47 mW digital power ,"Ruoxin Jiang; Fiez, T.S.", , ,2.86,,2.00E+06,82.0,,,,103.0,82.0,1.02E-01,3.20E+07,8,4.00E+06,2.55E+04,,2478.2,,154.9,6.20E-04,220.94
2002,13.5,OS,SDCT,0.18,A 3.3 mW __ modulator for UMTS in 0.18 _m CMOS with 70 dB dynamic range in 2 MHz bandwidth,"Summary form only given. The authors present a 4th-order continuous-time __ modulator with 1.5 b quantizer and feedback DAC for a UMTS receiver. The modulator has 70 dB DNR in a 2 MHz band and -74 dB THD at full scale. An IC which includes two modulators, a PLL, and an oscillator dissipates 11.5 mW at 1.8 V. Active area is 0.41 mm2 in a 0.18 _m, 1-poly 5-metal-layer CMOS technology ","van Veldhoven, R.; Philips, K.; Minnis, B.", , ,0.41,,2.00E+06,70.0,,70.0,74.0,,70.0,3.30E-03,1.54E+08,38,4.00E+06,8.25E+02,,319.2,,157.8,7.98E-05,223.85
2002,13.6,OS,SDSC,0.18,A 64 MHz __ ADC with 105 dB IM3 distortion using a linearized replica sampling network,"Summary form only given. The authors present a __ ADC with 105 dB distortion up to 1.5 MHz signal bandwidth, which uses a linear sampling network in a single-bit feedback 2-1-1 mash cascade modulator architecture. Operating at 64 MHz clock frequency, the measured SNR in a 1.1 MHz bandwidth is 88 dB. The area, including bypass capacitors, is 2.6 mm2, in a 0.18 _m 1.8 V/3.3 V SP5M digital CMOS process. The power consumed is 230 mW, including references and decimation filter ","Gupta, S.K.; Brooks, T.L.; Fong, V.", , ,2.6,,9.62E+05,88.0,,,,106.0,88.0,2.30E-01,6.40E+07,33,1.92E+06,1.20E+05,,5822.3,,154.2,3.03E-03,217.06
2002,18.1,OS,SDSC,0.13,A 1.5 V 2.4/2.9 mW 79/50 dB DR __ modulator for GSM/WCDMA in a 0.13 _m digital process,"A 2nd order multi-level __ A/D converter for low-power multi-standard wireless receivers, in a single-poly 0.13 _m digital CMOS process, has 79/50 dB dynamic range for GSM/WCDMA. The 0.2 mm2 chip consumes 2.4/2.9 mW at 1.5 V ","Gomez, G.; Haroun, B.",Data for WCDMA, ,0.2,,2.00E+06,49.0,,50.0,,,49.0,2.90E-03,4.60E+07,12,4.00E+06,7.25E+02,,3148.5,,137.4,7.87E-04,203.41
2002,18.2,NQ,Flash,0.13,An embedded 0.8 V/480 µW 6b/22 MHz flash ADC in 0.13 µm digital CMOS process using nonlinear double-interpolation technique,"For high-data-rate wireless communication, a 0.8 V 480 µW 6b 22 MSample/s flash-interpolation ADC is fabricated in 0.13 µm digital CMOS. The circuit achieves 33 dB SNDR and 47 dB SFDR using a nonlinear double-interpolation technique ","Lin, J.; Haroun, B.", , ,0.3,,1.10E+07,33.0,,,,47.0,33.0,4.60E-04,2.20E+07,1,2.20E+07,2.09E+01,,573.0,,136.8,2.60E-05,210.21
2002,18.3,OS,"SDSC, SwOpAmp",0.18,A 0.7V MOSFET-only switched-opamp __ modulator,"A 0.7V MOSFET-only switched-opamp __ modulator for speech applications achieves 67dB SNDR, and 75dB dynamic range. The circuit, occupying 0.08mm2 in 0.18_m CMOS, does not use voltage boosting or low-VT devices. All capacitors are compensated MOS devices ","Sauerbrey, J.; Tille, T.; Schmitt-Landsiedel, D.; Thewes, R.", , ,0.08,,8.00E+03,67.0,,75.0,,,67.0,1.00E-04,1.02E+06,64,1.60E+04,6.25E+03,,3416.3,,146.0,2.14E-01,188.07
2002,18.4,NQ,Pipe,0.6,A 30mW 12b 21MSample/s pipelined CMOS ADC,"A 0.6µm double-poly CMOS 12b ADC uses a number of different techniques to obtain low power. The ADC achieves 68dB SNR at 21 MSample/s, consuming 30mW at 2.7V. Die area is 2.56mm2 ","Kulhalli, S.; Penkota, V.; Asv, R.", LF data only, ,2.56,,1.00E+04,,68.2,,,,68.2,3.00E-02,2.10E+07,1,2.10E+07,1.43E+03,,680.1,,153.6,3.24E-05,226.86
2002,18.5,NQ,Pipe,0.35 BiCMOS,A self-calibrated pipeline ADC with 200MHz IF-sampling frontend,"A 13b 50MSample/s pipeline ADC with digital self-calibration and IF-sampling frontend, using a 0.35µm BiCMOS process, achieves 76.5dB SFDR at 194MHz input. The chip occupies 6mm2 and dissipates 715mW from a 2.9V supply ","Waltari, M.; Sumanen, L.; Korhonen, T.; Halonen, K.","Broken chip, SNDR is an optimistic estimate", ,6,,2.50E+07,70.0,,,,76.5,70.0,7.15E-01,5.00E+07,1,5.00E+07,1.43E+04,,5533.5,,145.4,1.11E-04,222.43
2002,18.6,OS,SDSC,0.25,A 33mW 14b 2.5MSample/s __ A/D converter in 0.25_m digital CMOS,"The IC consists of a 5th-order single-loop tri-level __ modulator and a multistage digital filter. Measured dynamic range is 86dB over 1 MHz bandwidth. With 79dB peak SNDR, the chip consumes 33mW and occupies 1.5mm2","Reutemann, R.; Balmelli, P.; Qiuting Huang", , ,1.5,,1.00E+06,79.0,84.0,86.0,,,79.0,3.30E-02,8.00E+07,40,2.00E+06,1.65E+04,,2265.2,,153.8,1.13E-03,216.83
2002,23.5,OS,SDSC,0.35,A 10/spl mu/V-offset 8kHz bandwidth 4th-order chopped /spl Sigma//spl Delta/ A/D converter for battery management,"A chopped 4th-order continuous-time 1 bit __ A/D converter with 10 µV offset and 8 kHz bandwidth has been designed for battery current measurement. Chopping at 16 kHz, the circuit has a 0.1 V input range, a 68 dB SNR, and a 1 MHz output bit rate. Area is 0.45x0.4mm2 in 0.35_m CMOS. Current consumption is 30_A at 2.5-4V. ","Blanken, P.G.; Menten, S.E.J.", , ,0.18,,8.00E+03,,68.0,,,,68.0,1.00E-04,1.00E+06,63,1.60E+04,6.25E+03,,3044.7,,147.0,1.90E-01,189.07
2003,3.1,OS,SDSC,0.13,A 1.5V 1mA 80dB passive __ ADC in 0.13_m digital CMOS process,"A passive switched-capacitor __ ADC consisting of only switches, capacitors and a comparator, is implemented in a 0.13_m digital CMOS process. This high-speed low-voltage architecture is used in a zero-IF GSM transceiver and has a measured peak SNDR of 67dB over a bandwidth of 100kHz with a SFDR of 75dB and a dynamic range of 72dB. The ADC consumes 1mA from a 1.5V power supply at a clock rate of 104MHz.","Feng Chen; Ramaswamy, S.; Bakkaloglu, B.",Data for WCDMA, ,0.1225,,2.00E+06,45.2,,50.3,,,45.2,1.30E-03,1.04E+08,26,4.00E+06,3.25E+02,,2186.1,,137.1,5.47E-04,203.09
2003,3.2,OS,SDSC,0.35,A 114 dB 68 mW chopper-stabilized stereo multi-bit audio A/D converter,A fifth-order single-loop seventeen level __ modulator with an input feed-forward gain stage and second-order mismatch shaping logic achieves 114 dB dynamic range and -105 dB THD over the 20 kHz audio band. This stereo ADC occupies 5.62 mm2 active area in a 0.35 _m 2P 3M CMOS process and dissipates only 55 mW power in the analog circuits.,"YuQing Yang; Chokhawala, A.; Alexander, M.; Melanson, J.; Hester, D.",A-weighted DR=114dB --> 111dB linear DR, ,5.62,,2.00E+04,105.0,,111.0,,,105.0,5.50E-02,5.12E+06,128,4.00E+04,1.38E+06,,9457.8,,160.6,2.36E-01,206.63
2003,3.3,OS,SDSC,0.13,A 1.2-V dual-mode WCDMA/GPRS __ modulator,"A dual-mode __ modulator is designed to meet the specifications of a WCDMA/GPRS receiver and is composed of a single-bit second-order modulator followed by a multi-bit stage that adapts performance to broadband signals. The modulator achieves 82dB and 70dB of dynamic range over bandwidths of 100kHz and 1.92MHz, respectively, and dissipates 4.3mW from a 1.2V supply. The circuit is implemented in 0.13_m CMOS technology and occupies an active area of 0.2mm2.","Dezzani, A.; Andre, E.",Data for WCDMA, ,0.2,,1.92E+06,64.0,,70.0,,,64.0,2.10E-03,3.84E+07,10,3.84E+06,5.47E+02,,422.3,,153.6,1.10E-04,219.45
2003,3.4,OS,SDCT,0.18,A tri-mode continuous-time __ modulator with switched-capacitor feedback DAC for a GSM-EDGE/CDMA2000/UMTS receiver,"Complex continuous-time fifth-order __ modulator with 1b quantizer and switched-capacitor feedback DAC for a GSM/CDMA2000/UMTS receiver achieves a dynamic range of 92/83/74dB in 200/1228/3840kHz. Power consumption of one modulator is 3.8/4.1/4.5mW at 1.8V. Processed in 0.18_m CMOS, the 0.55mm2 IC includes a PLL, two oscillators and a bandgap reference. ","van Veldhoven, R.",Data for CDMA, ,0.55,,1.23E+06,,83.0,83.0,,,83.0,4.10E-03,7.68E+07,31,2.46E+06,1.67E+03,,144.4,,167.8,5.87E-05,231.68
2003,3.5,OS,SDCT,0.5,A continuous-time __ modulator with 88dB dynamic range and 1.1MHz signal bandwidth,A baseband continuous-time multi-bit __ modulator achieves 88dB dynamic range over a 1.1MHz signal bandwidth consuming 62mW from a 3.3V supply. Excess loop delay encountered in conventional continuous-time modulators is eliminated by the proposed architecture. Clock-jitter sensitivity is considerably reduced compared with prior designs.,"Yan, S.; Sanchez-Sinencio, E.", , ,5.76,,1.10E+06,83.0,84.0,88.0,,,83.0,6.20E-02,3.52E+07,16,2.20E+06,2.82E+04,,2441.0,,155.5,1.11E-03,218.91
2003,3.6,OS,SDCT,0.18,A 4.4mW 76dB complex __ ADC for Bluetooth receivers,"A __ ADC with a fifth-order continuous-time complex loop filter achieves 76dB of DNR in a 1MHz channel. The input impedance is less than 400Ω and allows operation with a current-mode RF front-end. Image rejection is over 50dB, and IM3 distortion is below -82dBc. The circuit dissipates 4.4mW and is implemented in 0.18_m CMOS.","Philips, K.",, ,0.22,,1.00E+06,75.5,,76.0,,,75.5,4.70E-03,6.40E+07,32,2.00E+06,2.35E+03,,482.7,,158.8,2.41E-04,221.79
2003,3.7,OS,SDSC,0.13,A dual channel __ ADC with 40MHz aggregate signal bandwidth,A dual-channel __ ADC has been integrated in 0.13_m CMOS technology with an oversampling ratio of 4. The ADC employs a cascade of low-pass and band-pass modulators and achieves an aggregate quadrature signal bandwidth of 40MHz at a sampling frequency of 160MS/s and 54dB dynamic range while dissipating 175mW from a 2.5V supply.,"Tabatabaei, A.; Onodera, K.; Zargari, M.; Samavati, H.; Su, D.K.", , ,2.4,,2.00E+07,50.0,,53.0,,,50.0,5.30E-02,1.60E+08,4,4.00E+07,1.33E+03,,5128.3,,135.8,1.28E-04,211.79
2003,18.1,NQ,"Pipe, TI",0.18,A 20GS/s 8b ADC with a 1MB memory in 0.18µm CMOS,"A 20 GS/s 8-bit ADC achieves a bandwidth of 6 GHz in 0.18 _m CMOS. The implementation uses 80 time-interleaved current-mode pipeline sub-ADCs and stores data at 20 GB/s into a 1 MB on-chip memory. The ADC is packaged with a BiCMOS input buffer chip in a 438-ball BGA, and total power consumption is 10 W.","Ken Poulton, Robert Neff, Brian Setterberg, Bernd Wuppermann, Tom Kopley, Robert Jewett, Jorge Pernillo, Charles Tan, and Allen Montijo", ,4,196,40.9,6.00E+09,29.5,,,,,29.5,1.00E+01,2.00E+10,1,2.00E+10,5.00E+02,5524.3,20617.3,130.9,119.5,1.03E-06,222.46
2003,18.3,NQ,"Flash, TI",0.18,A 2GS/s 6b ADC in 0.18µm CMOS,"A 2 GS/s 6-bit ADC with time-interleaving is demonstrated in 0.18 _m CMOS. Three cross-connected and pre-distorted reference voltages improve the averaging performance. Circuit techniques enabling an SNDR of 30 dB at Nyquist input frequency and a FOM of 3.5 pJ per conversion step are discussed, and experimental results validating the simulated performance metrics are presented.","Xicheng Jiang, Zhengyu Wang, and M. Frank Chang,", , ,0.5,,1.00E+09,30.0,,,,35.0,30.0,3.10E-01,2.00E+09,1,2.00E+09,1.55E+02,,6000.5,,125.1,3.00E-06,218.10
2003,18.4,NQ,Pipe,0.18,A 69mW 10b 80MS/s pipelined CMOS ADC,"A 10 b 80 MHz pipelined ADC with an active area of 1.85 mm2 is realized in a 0.18 _m dual gate oxidation CMOS process and achieves 72.8 dBc SFDR, 57.92 dB SNR, and 9.29 ENOB for a 100 MHz input at full sampling rate. The ADC shares an amplifier between two successive pipeline stages in order to achieve a power consumption of 69 mW at 3 V.","Byung-Moo Min, Peter Kim, David Boisvert, and Arlo Aude", , ,1.85,,4.00E+07,58.2,58.9,,68.4,70.6,58.2,6.90E-02,8.00E+07,1,8.00E+07,8.63E+02,,1294.5,,145.9,1.62E-05,224.89
2003,18.5,NQ,Pipe,0.18,A 10b 150MS/s 123mW 0.18µm CMOS pipelined ADC,"A 10 b 150 MHz multi-bit-per-stage single-channel CMOS pipelined ADC, incorporating temperature- and supply-insensitive CMOS references and improved gate-bootstrapping techniques for a wideband SHA, achieves a SNDR of 52 dB and SFDR of 65 dB at 150 MS/s. The ADC, fabricated in 0.18 _m CMOS, occupies an active die area of 2.2 mm2 and consumes 123 mW at 1.8 V. ","Sang-Min Yoo, Jong-Bum Park, Hee-Suk Yang, Hyuen-Hee Bae, Kyoung-Ho Moon, Ho-Jin Park, Seung-Hoon Lee, and Jae-Hwui Kim,", , ,2.2,,7.50E+07,52.0,,,,65.0,52.0,1.23E-01,1.50E+08,1,1.50E+08,8.20E+02,,2520.9,,139.9,1.68E-05,221.61
2003,18.6,NQ,Pipe,0.35,A 12b 75MS/s pipelined ADC using open-loop residue amplification,"The multi-bit first stage of a 12 b 75 MS/s pipelined ADC uses an open-loop gain stage to achieve more than 60% residue amplifier power savings over a conventional implementation. Statistical background calibration removes linear and nonlinear residue errors in the digital domain. The prototype IC achieves 68.2 dB SNR, -76 dB THD, occupies 7.9 mm2 in 0.35 _m CMOS and consumes 290 mW at 3 V.",Boris Murmann and Bernhard E. Boser, , ,7.9,,3.75E+07,67.0,,,,76.0,67.0,2.90E-01,7.50E+07,1,7.50E+07,3.87E+03,,2113.5,,148.1,2.82E-05,226.87
2003,18.7,NQ,Pipe,0.35 BiCMOS,Impact of dielectric relaxation on a 14b pipeline ADC in 3V SiGe BiCMOS,"Dielectric relaxation in PECVD SiN capacitors of a 45 GHz 0.4 _m SiGe BiCMOS process degrades performance even at low frequencies. In the design of pipelined 14 b 70 MS/s ADC, the effects of dielectric relaxation are identified via behavioral/circuit simulations and ad-hoc tests. After LPCVD oxide capacitors are introduced, a 5.3_5.3 mm2 test chip delivers 72 dB SNR, 81 dBc SFDR, and 11.5 ENOB at 70 MS/s with a 1 MHz input. The IC dissipates 1 W from 3.3 V. ","Alfio Zanchi, Frank Tsay, and Ioannis Papantonopoulos", , ,25,,3.50E+07,72.8,,,,81.0,72.8,1.00E+00,7.00E+07,1,7.00E+07,1.43E+04,,4006.3,,148.2,5.72E-05,226.69
2003,23.6,OS,SDCT,0.25,A 700/900mW/channel CMOS dual analog front-end IC for VDSL with integrated 11.5/14.5dBm line drivers,"A dual-channel analog front-end for ANSI/ETSI standards compliant VDSL in 0.25/0.5_m 1P 5M CMOS is presented. The chip includes a non-linearity cancelling multi-path line driver achieving -76dBc 3rd harmonic distortion at 12MHz, a 75mW continuous-time multi-bit 3rd-order self-calibrating __ ADC, a 14b current-steering DAC with PSD mask post filter, a 0-35dB variable-gain amplifier with adjustable hybrid, and a 12ps jitter LC PLL.","Moyal, M.; Groepl, M.; Werker, H.; Mitteregger, G.; Schambacher, J.", , ,31,,1.20E+07,,79.0,,,,79.0,7.50E-02,2.40E+08,10,2.40E+07,3.13E+03,,429.0,,161.0,1.79E-05,234.84
2004,4.1,OS,SDCT,0.18,A cascaded continuous-time __ modulator with 67dB dynamic range in 10MHz bandwidth,A 2-2 cascaded __ modulator with continuous-time loop filters and 4b quantizers is presented. The dynamic range is 67dB in a 10MHz bandwidth at a 160MS/s with a full-scale input range of 200mVrms. Inherent anti-aliasing filtering is over 50dB. The 0.18_m CMOS chip measures 1.7mm2 and draws 68mA from a 1.8V supply. ,"Breems, L.J.",, ,1.7,,1.00E+07,,63.0,67.0,,,63.0,1.22E-01,1.60E+08,8,2.00E+07,6.12E+03,,5302.1,,142.1,2.65E-04,215.13
2004,4.2,OS,SDSC,0.18,A 25 MS/s 14 b 200 mW __ modulator in 0.18 _m CMOS,"Sampled at 200 MHz, a 5th-order 4 b-quantizer single-loop __ modulator achieves a 25 MS/s conversion rate with 84 dB DR and 82 dB SNR, a performance suitable for VDSL. Implemented in 0.18 _m CMOS, the 0.95 mm2 chip has a power consumption of 200 mW from a 1.8 V supply. ","Balmelli, P.; Qiuting Huang", , ,0.95,,1.25E+07,72.0,82.0,84.0,,,72.0,2.00E-01,2.00E+08,8,2.50E+07,8.00E+03,,2458.9,,150.0,9.84E-05,223.94
2004,4.3,OS,SDSC,0.18,__ ADC with finite impulse response feedback DAC,"A continuous-time 1 b __ ADC with a finite impulse response DAC in the feedback path is presented. The FIRDAC reduces the susceptibility to clock jitter by 18 dB while maintaining linearity. S/N ratio is 77 dB in a 1 MHz bandwidth, and IM2 and IM3 are 77 dB and 82 dB, respectively. The 0.18 _m CMOS chip consumes 6.0 mW.","Putter, B.M.",, ,0.2,,1.10E+06,77.0,77.3,,,,77.0,6.00E-03,2.82E+08,128,2.20E+06,2.73E+03,,470.8,,159.6,2.14E-04,223.07
2004,4.4,OS,SDCT,0.13,A 0.9 V 1.5 mW continuous-time __ modulator for WCDMA,"A second-order continuous-time __ modulator for a WCDMA RX is implemented with inverter-based OTAs, enabling operation at a voltage of 0.9 V. The OTAs are balanced by using CMFB. The modulator consumes only 1.5 mW and occupies 0.12 mm2 in a 0.13 _m CMOS process. SNDR is 50.9 dB over a bandwidth of 1.92 MHz. ","Ueno, T.; Itakura, T.", , ,0.12,,1.92E+06,50.9,53.2,54.0,,,50.9,1.35E-03,6.14E+07,16,3.84E+06,3.52E+02,,1226.8,,142.4,3.19E-04,208.27
2004,4.5,OS,SDSC,0.09,A 1 V 88 dB 20 kHz __ modulator in 90 nm CMOS,"A third-order single-loop SC __ modulator is realized in a standard 90 nm digital CMOS technology. The modulator achieves 88 dB dynamic range for a 20 kHz signal bandwidth with an OSR of 100. Power consumption is 140 _W from a 1 V supply, and the chip core size is 0.18 mm2. ","Yao, L.; Steyaert, M.; Sansen, W.", , ,0.18,,2.00E+04,81.0,85.0,88.0,,,81.0,1.40E-04,4.00E+06,100,4.00E+04,3.50E+03,,381.7,,162.5,9.54E-03,208.57
2004,4.6,OS,SDSC,0.13,A power optimized 14-bit SC __ modulator for ADSL CO applications,"A switched-capacitor multi-bit __ ADC including a reference-voltage buffer is implemented in 0.13 _m CMOS. The single loop 3 b modulator features 14 b and 13 b dynamic range over 276 kHz and 1.1 MHz signal bandwidths, respectively. Clocked at 105 MHz, the ADC core consumes 8 mW from a 1.5 V supply.","Gaggl, R.; Inversi, M.; Wiesbauer, A.",Data for BW=1.1MHz, , ,,1.10E+06,76.0,78.0,82.0,,,76.0,1.50E-02,1.05E+08,48,2.20E+06,6.82E+03,,1322.2,,154.7,6.01E-04,218.08
2004,4.7,OS,SDSC,0.18,A mirror image free two-path bandpass __ modulator with 72 dB SNR and 86 dB SFDR,"A cross-coupled two-path __ architecture generates transmission zeros at 1/3 of the clock frequency, thereby achieving a mirror image free response. The chip uses 0.18 _m CMOS technology and is clocked at 2_60 MHz with a 40 MHz IF. The modulator achieves an 86 dB SFDR with a 2.5 MHz bandwidth and consumes 150 mW from a 1.8 V supply.","Ying, F.; Maloberti, F.", , ,1.1,,2.50E+06,,72.0,,,86.0,72.0,1.50E-01,1.20E+08,24,5.00E+06,3.00E+04,,9220.9,,144.2,1.84E-03,211.21
2004,4.8,OS,SDCT,0.18,A 2 mW 89 dB DR continuous-time __ ADC with increased immunity to wide-band interferers,"A continuous-time __ ADC with merged channel filter and programmable-gain functionality is presented. Interferers above full-scale can be applied without jeopardizing reception of weak desired signals. The merged design occupies 0.14 mm2 in 0.18 _m CMOS, consumes 2 mW, and achieves 89 dB of dynamic range (DR) in a 1 MHz bandwidth.","Philips, K.; Nuijten, P.A.C.M.; Roovers, R.; Munoz, F.; Tejero, M.; Torralba, A.","DR=89dB, DRinst=68dB", ,0.14,,1.00E+06,65.0,,68.0,,,65.0,2.07E-03,6.40E+07,32,2.00E+06,1.04E+03,,712.2,,151.8,3.56E-04,214.85
2004,14.1,NQ,Folding,0.18,A 1.8V 1.6GS/s 8b self-calibrating folding ADC with 7.26 ENOB at Nyquist frequency,"A 1.8V folding-interpolating ADC in 0.18_m CMOS uses small device sizes to achieve a conversion rate exceeding 1.6GS/s. The inherent mismatch offsets are calibrated transparently, and at 1.6GS/s the ADC achieves 0.15LSB DNL, 0.35LSB INL, 7.5 ENOB at 100MHz input, and 7.26 ENOB at Nyquist.","Robert Taft, Chris Menkus, Maria Rosaria Tursi, Ols Hidri, and Valerie Pons", , ,8,,8.00E+08,,45.8,,56.0,55.0,45.8,1.27E+00,1.60E+09,1,1.60E+09,7.93E+02,,4978.8,,133.8,3.11E-06,225.84
2004,14.2,NQ,Folding,0.18,An 8b 600MS/s 200mW CMOS folding A/D converter using an amplifier preset technique,"An 8b CMOS folding ADC with resistive averaging and interpolation exhibits 7.5 ENOB and a maximum sample frequency of 600MS/s while dissipating only 200mW. The ADC utilizes preset switches at the outputs of the pre-amplifiers. Chip area is 0.2mm2, and supply voltage is 3.3/1.8V in 0.35/0.18_m CMOS. ",Govert Geelen and Edward Paulus, , ,0.2,,3.00E+08,46.9,,,,,46.9,2.00E-01,6.00E+08,1,6.00E+08,3.33E+02,,1841.4,,138.7,3.07E-06,226.45
2004,14.3,NQ,Pipe,0.13,A 1.2V 220MS/s 10b pipeline ADC implemented in 0.13µm digital CMOS,A 10b pipeline ADC fabricated in a 0.13_m pure digital CMOS process is presented. The supply voltage is 1.2V and the conversion rate is 120MS/s. The ADC maintains its performance down to 0.9V supply voltage and up to 220MS/s at a signal swing near full scale. Power consumption at 220MS/s is 135mW.,"Bjørnar Hernes, Atle Briskemyr, Terje N. Andersen, Frode Telstø, Thomas E. Bonnerud, and Øystein Moldsvor,", , ,1.3,,1.10E+08,51.0,,,,,51.0,1.35E-01,2.20E+08,1,2.20E+08,6.14E+02,,2116.7,,140.1,9.62E-06,223.53
2004,14.4,NQ,"Pipe, TI",0.18,A 150MS/s 8b 71mW time-interleaved ADC in 0.18µm CMOS,"This paper presents a 150 MS/s 8 bit time-interleaved ADC which has been built in 0.18 _m CMOS. Segmentation of the track-and-hold into separate circuits, driving the 1st stage comparators and two interleaved residue paths, together with signal scaling, results in a 45.4 dB SNDR for an 80 MHz input frequency, while dissipating 71 mW from a 1.8 V supply.","Sotirios Limotyrakis, Scott D. Kulchycki, David Su, and Bruce A. Wooley, ", , ,1.8,,7.50E+07,45.4,,,,52.5,45.4,7.10E-02,1.50E+08,1,1.50E+08,4.73E+02,,3111.4,,135.6,2.07E-05,217.40
2004,14.5,NQ,Two-Step,0.13,A 21mW 8b 125MS/s ADC occupying 0.09mm2 in 0.13µm CMOS,"An 8b subranging ADC uses interpolation, averaging, offset compensation and pipelining techniques to accomplish 7.6b ENOB at 125MS/s. The 0.13_m CMOS ADC occupies 0.09mm2 and consumes 21 mW. ","Jan Mulder, Christopher M. Ward, Chi-Hung Lin, Dave Kruse, Jan R. Westra, Marcel L. Lugthart, Erol Arslan, Rudy J. van de Plassche, Klaas Bult, and Frank M. L. van der Goes,", , ,0.09,,6.25E+07,47.5,,,,,47.5,2.10E-02,1.25E+08,1,1.25E+08,1.68E+02,,865.9,,142.2,6.93E-06,223.22
2004,14.6,NQ,Flash,HBT,A 3b 40GS/s ADC-DAC in 0.12µm SiGe,"A 3b SiGe ADC-DAC produces a conversion rate of 40GS/s with >200 dynamic range over 12GHz bandwidth for receiver exciter applications. The 40GHz design and test methodology, as well as a new wideband quantizer front end, are described.","William Cheng, Wais Ali, Moon-Jung Choi, Kanon Liu, Tammy Tat, Don Devendorf, Lloyd Linder, and Ronald Stevens,", , ,3.96,,1.30E+10,20.0,,,,,20.0,3.80E+00,4.00E+10,1,4.00E+10,9.50E+01,,11631.4,,117.2,2.91E-07,223.23
2004,14.7,NQ,"SAR, TI",0.09,A 6b 600MHz 10mW ADC array in digital 90nm CMOS,A 6b converter array operates at a 600MHz clock frequency with input signals up to 600MHz and only 10mW power consumption. The array consists of 8 interleaved successive approximation converters implemented in a 90nm digital CMOS technology.,Dieter Draxelmayr, , ,,,3.00E+08,31.0,,,,,31.0,1.00E-02,6.00E+08,1,6.00E+08,1.67E+01,,575.0,,135.8,9.58E-07,223.55
2004,25.1,NQ,Pipe,0.18,A digitally enhanced 1.8V 15b 40MS/s CMOS pipelined ADC,"A 1.8 V 15 b 40 MS/s CMOS pipelined ADC with 90 dB SFDR and 72 dB peak SNR over the full Nyquist band is described. ADC performance is enhanced by digital background calibration of DAC noise and interstage gain error. The IC is realized in a 0.18 _m CMOS process, consumes 400 mW, and has a die size of 4 mm_5 mm. ","E. Siragusa and I. Galton,", , ,20,,2.00E+07,,72.0,,88.0,90.0,72.0,3.94E-01,4.00E+07,1,4.00E+07,9.85E+03,,3027.5,,149.1,7.57E-05,225.08
2004,25.2,NQ,Pipe,0.18,A 15b 20MS/s CMOS pipelined ADC with digital background calibration,A 15 b 20 MS/s CMOS pipelined ADC is fabricated in a 0.18 _m dual-gate CMOS technology and achieves 94 dB SFDR and 74 dB SNDR for a 8 MHz input. Digital calibration can proceed continuously in the background to maintain the ADC resolution. The chip occupies an area of 3.3_3.4 mm2 and dissipates 235 mW with 1.8 V and 3.3 V dual supplies. ,"Hung-Chih Liu, Zwei-Mei Lee, and Jieh-Tsorng Wu", , ,11.22,,1.00E+07,74.0,,,,94.0,74.0,2.33E-01,2.00E+07,1,2.00E+07,1.17E+04,,2844.2,,150.3,1.42E-04,223.34
2004,25.3,NQ,Pipe,0.25,A 96dB SFDR 50MS/s digitally enhanced CMOS pipeline A/D converter,A 96 dB SFDR 50 MS/s pipeline A/D converter has been designed in a 0.25 _m CMOS process. An improved sample-and-hold and subtractive dither-continuous gain correction (SD-CGC) digital calibration are used to increase linearity. Prototype measurements show that the SNDR increases from 49 dB to 75 dB and the SFDR increases from 62 dB to 96 dB using the technique.,"K. Nair and R. Harjani,", , ,5.55,,2.50E+07,75.0,,,,96.0,75.0,7.80E-01,5.00E+07,1,5.00E+07,1.56E+04,,3394.4,,150.1,6.79E-05,227.05
